login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
marketcalls,marketcalls/websocket-stockmarket-clickhouse,2024-10-21T07:06:47Z,2,2,Python,true,true,MIT License
juspay,juspay/juspaysafebrowser-ios,2024-10-21T06:09:00Z,0,0,Swift,true,true,
Sonichigo,Sonichigo/opensourcepledge.com,2024-10-21T05:56:42Z,0,0,Astro,true,false,
sunnysavita10,sunnysavita10/langgraph-end-to-end,2024-10-21T05:56:14Z,1,1,Jupyter Notebook,true,true,
Tivotal,Tivotal/Draggable-Tabs-Layout-in-HTML-CSS-JavaScript,2024-10-21T05:48:04Z,0,0,CSS,true,true,
Infosys,Infosys/Infosys-Data-Validation-Extensible-IDVEX,2024-10-21T05:23:29Z,0,0,Python,true,true,MIT License
danishprakash,danishprakash/containers-wg,2024-10-21T02:36:16Z,0,0,null,true,true,
cpraveen,cpraveen/construct2d,2024-10-21T02:22:01Z,0,0,Fortran,true,true,
narasimhareddyprostack,narasimhareddyprostack/shiva_Java,2024-10-20T16:17:08Z,0,0,Java,true,true,
adil-shabab,adil-shabab/Dentstop,2024-10-20T11:45:12Z,0,0,HTML,true,true,
marketcalls,marketcalls/yfinance,2024-10-20T10:47:30Z,0,0,null,true,true,Apache License 2.0
marketcalls,marketcalls/openchart,2024-10-20T07:11:58Z,10,10,Python,true,true,Other
tanisha03,tanisha03/llama-hack,2024-10-20T04:28:56Z,0,0,TypeScript,true,true,
gucci1909,gucci1909/cpp-guide,2024-10-19T19:56:06Z,0,0,C++,true,true,
hasura,hasura/ndc-duckduckapi,2024-10-19T19:39:02Z,0,0,TypeScript,true,true,Apache License 2.0
lepisma,lepisma/header-progress,2024-10-19T16:18:00Z,1,1,Emacs Lisp,true,true,
krishnaik06,krishnaik06/Transformers-Materials,2024-10-19T15:43:30Z,8,8,null,true,true,GNU General Public License v3.0
eshaan7,eshaan7/helios,2024-10-19T12:12:34Z,0,0,Rust,true,true,MIT License
FarhaKousar1601,FarhaKousar1601/Parkinsons-disease-prediction,2024-10-19T11:50:32Z,0,0,null,true,true,MIT License
FarhaKousar1601,FarhaKousar1601/Parkinsons-disease-prediction-using-CNN,2024-10-19T11:30:38Z,1,1,Jupyter Notebook,true,true,
FarhaKousar1601,FarhaKousar1601/combined-repo,2024-10-19T10:29:21Z,0,0,null,true,true,
tkmagesh,tkmagesh/Shastra-MERN,2024-10-19T09:16:07Z,1,1,JavaScript,true,true,
shivance,shivance/exo,2024-10-19T06:33:57Z,0,0,null,true,false,GNU General Public License v3.0
Jay-study-nildana,Jay-study-nildana/DockerForStudents,2024-10-19T05:41:04Z,0,0,null,true,true,MIT License
Tivotal,Tivotal/Card-Hover-Effect-with-Flying-Bird-Animation-using-HTML-and-CSS,2024-10-19T05:17:25Z,0,0,CSS,true,true,
jidhu-mohan,jidhu-mohan/test,2024-10-19T05:13:36Z,0,0,null,true,true,Apache License 2.0
ChillarAnand,ChillarAnand/one-click-hugo-cms,2024-10-19T04:41:18Z,0,0,SCSS,true,true,MIT License
deepakkapse,deepakkapse/og-aws-best-practise,2024-10-18T18:27:24Z,0,0,null,true,false,Creative Commons Attribution 4.0 International
AbiramiSukumaran,AbiramiSukumaran/MoviePeople_Graph,2024-10-18T16:57:36Z,0,0,null,true,true,Apache License 2.0
Infosys,Infosys/Infosys-Video-Analytics,2024-10-18T13:36:33Z,0,0,null,true,true,Apache License 2.0
eshaan7,eshaan7/rusty-verified-eth-rpc-proxy,2024-10-18T12:59:13Z,0,0,Rust,true,true,MIT License
anjanak05,anjanak05/loginSignup,2024-10-18T11:49:27Z,0,0,JavaScript,true,true,
lepisma,lepisma/idli,2024-10-18T08:56:14Z,1,1,Emacs Lisp,true,true,
karndeepsingh,karndeepsingh/two-tower-lodging-candidate-generation,2024-10-18T08:36:59Z,0,0,null,true,true,Apache License 2.0
karndeepsingh,karndeepsingh/LargeLanguageModelsProjects,2024-10-18T08:35:54Z,0,0,null,true,true,
sumansauravmay,sumansauravmay/areness_assignment,2024-10-18T07:00:52Z,0,0,JavaScript,true,true,
amagimedia,amagimedia/PySceneDetect,2024-10-18T05:52:54Z,0,0,null,true,true,"BSD 3-Clause ""New"" or ""Revised"" License"
narasimhareddyprostack,narasimhareddyprostack/UI_Oct21_JS_ReactJS,2024-10-18T04:35:46Z,0,0,HTML,true,true,
shahsad-kp,shahsad-kp/django-static-generator,2024-10-18T03:17:10Z,0,0,null,true,true,
Tivotal,Tivotal/Animated-Portfolio-Website-Design-in-HTML-and-CSS,2024-10-18T03:05:45Z,2,2,CSS,true,true,
sanjaysamantra1,sanjaysamantra1/angular_project_august_2024_2,2024-10-18T01:48:55Z,0,0,TypeScript,true,true,
hacksparrow,hacksparrow/L1B3RT45,2024-10-17T16:47:13Z,0,0,null,true,true,GNU Affero General Public License v3.0
abhisek,abhisek/CircuitVerse,2024-10-17T16:19:09Z,0,0,null,true,true,MIT License
ArchishmanSengupta,ArchishmanSengupta/dice,2024-10-17T15:36:22Z,0,0,null,true,true,Other
ArchishmanSengupta,ArchishmanSengupta/phidata,2024-10-17T15:35:01Z,0,0,Python,true,true,Mozilla Public License 2.0
abhisek,abhisek/vet,2024-10-17T14:48:35Z,0,0,null,true,true,Apache License 2.0
Randhir200,Randhir200/neural-tangjie,2024-10-17T10:15:56Z,0,0,null,true,true,
mr-karan,mr-karan/portal,2024-10-17T09:21:45Z,0,0,null,true,true,GNU Affero General Public License v3.0
hasura,hasura/ddn-helm-charts,2024-10-17T08:05:47Z,2,2,Smarty,true,true,Apache License 2.0
hariketsheth,hariketsheth/HRMS--Project,2024-10-17T04:20:06Z,0,0,null,true,true,
kitarp29,kitarp29/diceDB,2024-10-16T17:23:41Z,0,0,Go,true,true,Other
ushareng,ushareng/snowflake-demo-notebooks,2024-10-16T15:56:53Z,0,0,null,true,true,Apache License 2.0
mohdsanadzakirizvi,mohdsanadzakirizvi/msc,2024-10-16T14:33:24Z,0,0,Python,true,true,
cpraveen,cpraveen/dgale1d,2024-10-16T10:50:35Z,0,0,C,true,true,
tanisha03,tanisha03/node-service,2024-10-16T08:49:52Z,0,0,JavaScript,true,true,
vinitshahdeo,vinitshahdeo/10Xtober,2024-10-16T07:06:00Z,0,0,null,true,false,MIT License
nyrahul,nyrahul/kubebreach,2024-10-15T17:55:24Z,0,0,null,true,true,Apache License 2.0
srijan-paul,srijan-paul/oxc,2024-10-15T15:15:52Z,0,0,null,true,false,MIT License
